repeat,seed,fold,method,selected,mode,alpha,mcc,latent_dim,selected_epochs,inner_mcc,inner_auc,classification_weight,history_last_epoch
2,29,4,PCA160-SRC (proposed),True,pca160,0.01,0.4451991096026712,,,,,,
2,29,4,PCA160-SRC (proposed),False,pca160,0.02,0.44004129133933934,,,,,,
2,29,4,DeepLSE160-SRC,,,0.001,,160.0,13.0,0.6351073488299558,0.8344875346260388,1.0,27.0
2,29,4,DeepLSE160-SRC,,,0.005,,160.0,13.0,0.6351073488299558,0.840027700831025,1.0,27.0
2,29,4,DeepLSE160-SRC,,,0.01,,160.0,13.0,0.6351073488299558,0.840027700831025,1.0,27.0
2,29,4,DeepLSE160-SRC,,,0.02,,160.0,13.0,0.6351073488299558,0.8386426592797784,1.0,27.0
2,29,4,AE160-SRC,,,0.001,,160.0,88.0,0.6054728454665549,0.8975069252077561,0.0,100.0
2,29,4,AE160-SRC,,,0.005,,160.0,88.0,0.6054728454665549,0.8815789473684211,0.0,100.0
2,29,4,AE160-SRC,,,0.01,,160.0,88.0,0.6324555320336758,0.8808864265927978,0.0,100.0
2,29,4,AE160-SRC,,,0.02,,160.0,88.0,0.6324555320336758,0.8808864265927978,0.0,100.0
3,41,0,PCA160-SRC (proposed),False,pca160,0.001,0.4907258876454141,,,,,,
3,41,0,PCA160-SRC (proposed),False,pca160,0.005,0.4854472849733194,,,,,,
3,41,0,PCA160-SRC (proposed),False,pca160,0.01,0.4907125970955758,,,,,,
3,41,0,PCA160-SRC (proposed),True,pca160,0.02,0.5172384680216907,,,,,,
3,41,0,DeepLSE160-SRC,,,0.001,,160.0,19.0,0.5528230328172892,0.8137119113573407,1.0,33.0
3,41,0,DeepLSE160-SRC,,,0.005,,160.0,19.0,0.5528230328172892,0.8150969529085872,1.0,33.0
3,41,0,DeepLSE160-SRC,,,0.01,,160.0,19.0,0.5528230328172892,0.814404432132964,1.0,33.0
3,41,0,DeepLSE160-SRC,,,0.02,,160.0,19.0,0.5528230328172892,0.8150969529085872,1.0,33.0
3,41,0,AE160-SRC,,,0.001,,160.0,94.0,0.5146425295634922,0.8282548476454294,0.0,100.0
3,41,0,AE160-SRC,,,0.005,,160.0,94.0,0.4797016118001235,0.85803324099723,0.0,100.0
3,41,0,AE160-SRC,,,0.01,,160.0,94.0,0.4797016118001235,0.860803324099723,0.0,100.0
3,41,0,AE160-SRC,,,0.02,,160.0,94.0,0.4797016118001235,0.8545706371191135,0.0,100.0
3,41,1,PCA160-SRC (proposed),True,pca160,0.001,0.48014409970889343,,,,,,
3,41,1,PCA160-SRC (proposed),False,pca160,0.005,0.474811437577395,,,,,,
3,41,1,PCA160-SRC (proposed),False,pca160,0.01,0.4801024428684003,,,,,,
3,41,1,PCA160-SRC (proposed),False,pca160,0.02,0.46950378731363074,,,,,,
3,41,1,DeepLSE160-SRC,,,0.001,,160.0,8.0,0.5863019699779287,0.8511080332409972,1.0,22.0
3,41,1,DeepLSE160-SRC,,,0.005,,160.0,8.0,0.5574784668619939,0.8538781163434902,1.0,22.0
3,41,1,DeepLSE160-SRC,,,0.01,,160.0,8.0,0.5863019699779287,0.8497229916897506,1.0,22.0
3,41,1,DeepLSE160-SRC,,,0.02,,160.0,8.0,0.5863019699779287,0.8497229916897507,1.0,22.0
3,41,1,AE160-SRC,,,0.001,,160.0,69.0,0.4763305116224668,0.8656509695290858,0.0,83.0
3,41,1,AE160-SRC,,,0.005,,160.0,69.0,0.5263157894736842,0.8531855955678671,0.0,83.0
3,41,1,AE160-SRC,,,0.01,,160.0,69.0,0.4743416490252569,0.8518005540166205,0.0,83.0
3,41,1,AE160-SRC,,,0.02,,160.0,69.0,0.4216370213557839,0.8455678670360111,0.0,83.0
3,41,2,PCA160-SRC (proposed),False,pca160,0.001,0.47155999340180355,,,,,,
3,41,2,PCA160-SRC (proposed),False,pca160,0.005,0.47155999340180355,,,,,,
3,41,2,PCA160-SRC (proposed),True,pca160,0.01,0.48732532339219164,,,,,,
3,41,2,PCA160-SRC (proposed),False,pca160,0.02,0.4767312946227962,,,,,,
3,41,2,DeepLSE160-SRC,,,0.001,,160.0,2.0,0.47368421052631576,0.8109418282548477,1.0,16.0
3,41,2,DeepLSE160-SRC,,,0.005,,160.0,2.0,0.5263157894736842,0.8171745152354571,1.0,16.0
3,41,2,DeepLSE160-SRC,,,0.01,,160.0,2.0,0.5001732201680236,0.8150969529085873,1.0,16.0
3,41,2,DeepLSE160-SRC,,,0.02,,160.0,2.0,0.4234048992199705,0.8130193905817175,1.0,16.0
3,41,2,AE160-SRC,,,0.001,,160.0,51.0,0.5292561240249631,0.8788088642659281,0.0,65.0
3,41,2,AE160-SRC,,,0.005,,160.0,51.0,0.6460582824697986,0.9092797783933518,0.0,65.0
3,41,2,AE160-SRC,,,0.01,,160.0,51.0,0.6693494407520824,0.9106648199445982,0.0,65.0
3,41,2,AE160-SRC,,,0.02,,160.0,51.0,0.6460582824697986,0.907202216066482,0.0,65.0
3,41,3,PCA160-SRC (proposed),True,pca160,0.001,0.4925048912985501,,,,,,
3,41,3,PCA160-SRC (proposed),False,pca160,0.005,0.48710669380586646,,,,,,
3,41,3,PCA160-SRC (proposed),False,pca160,0.01,0.4819133882598716,,,,,,
3,41,3,PCA160-SRC (proposed),False,pca160,0.02,0.4767312946227962,,,,,,
3,41,3,DeepLSE160-SRC,,,0.001,,160.0,4.0,0.5821817364274594,0.8822714681440442,1.0,18.0
3,41,3,DeepLSE160-SRC,,,0.005,,160.0,4.0,0.6351073488299558,0.8822714681440443,1.0,18.0
3,41,3,DeepLSE160-SRC,,,0.01,,160.0,4.0,0.6351073488299558,0.8843490304709141,1.0,18.0
3,41,3,DeepLSE160-SRC,,,0.02,,160.0,4.0,0.6851601597031488,0.8829639889196675,1.0,18.0
3,41,3,AE160-SRC,,,0.001,,160.0,56.0,0.5223645292668042,0.763157894736842,0.0,70.0
3,41,3,AE160-SRC,,,0.005,,160.0,56.0,0.4604696317147035,0.7873961218836565,0.0,70.0
3,41,3,AE160-SRC,,,0.01,,160.0,56.0,0.4845437118523489,0.7894736842105263,0.0,70.0
3,41,3,AE160-SRC,,,0.02,,160.0,56.0,0.455157619711416,0.801246537396122,0.0,70.0
3,41,4,PCA160-SRC (proposed),False,pca160,0.001,0.5132562509795503,,,,,,
3,41,4,PCA160-SRC (proposed),True,pca160,0.005,0.5185257765656843,,,,,,
3,41,4,PCA160-SRC (proposed),False,pca160,0.01,0.5133424932089558,,,,,,
3,41,4,PCA160-SRC (proposed),False,pca160,0.02,0.5133424932089558,,,,,,
3,41,4,DeepLSE160-SRC,,,0.001,,160.0,3.0,0.5330017908890261,0.8400277008310248,1.0,17.0
3,41,4,DeepLSE160-SRC,,,0.005,,160.0,3.0,0.5622535302317492,0.8538781163434903,1.0,17.0
3,41,4,DeepLSE160-SRC,,,0.01,,160.0,3.0,0.5863019699779287,0.8448753462603878,1.0,17.0
3,41,4,DeepLSE160-SRC,,,0.02,,160.0,3.0,0.5863019699779287,0.8379501385041551,1.0,17.0
3,41,4,AE160-SRC,,,0.001,,160.0,80.0,0.6105716541821837,0.8434903047091412,0.0,94.0
3,41,4,AE160-SRC,,,0.005,,160.0,80.0,0.5863019699779287,0.8254847645429363,0.0,94.0
3,41,4,AE160-SRC,,,0.01,,160.0,80.0,0.6105716541821837,0.8289473684210527,0.0,94.0
3,41,4,AE160-SRC,,,0.02,,160.0,80.0,0.6105716541821837,0.8358725761772854,0.0,94.0
4,53,0,PCA160-SRC (proposed),False,pca160,0.001,0.4854215918045705,,,,,,
4,53,0,PCA160-SRC (proposed),False,pca160,0.005,0.4854215918045705,,,,,,
4,53,0,PCA160-SRC (proposed),False,pca160,0.01,0.5013650054052888,,,,,,
4,53,0,PCA160-SRC (proposed),True,pca160,0.02,0.522687616529605,,,,,,
4,53,0,DeepLSE160-SRC,,,0.001,,160.0,11.0,0.6581226581158205,0.9141274238227147,1.0,25.0
4,53,0,DeepLSE160-SRC,,,0.005,,160.0,11.0,0.6581226581158205,0.9141274238227147,1.0,25.0
4,53,0,DeepLSE160-SRC,,,0.01,,160.0,11.0,0.6581226581158205,0.9127423822714682,1.0,25.0
4,53,0,DeepLSE160-SRC,,,0.02,,160.0,11.0,0.6581226581158205,0.9106648199445984,1.0,25.0
4,53,0,AE160-SRC,,,0.001,,160.0,86.0,0.6054728454665549,0.8628808864265928,0.0,100.0
4,53,0,AE160-SRC,,,0.005,,160.0,86.0,0.631578947368421,0.8781163434903048,0.0,100.0
4,53,0,AE160-SRC,,,0.01,,160.0,86.0,0.6071582289507229,0.8829639889196677,0.0,100.0
4,53,0,AE160-SRC,,,0.02,,160.0,86.0,0.6071582289507229,0.8746537396121884,0.0,100.0
4,53,1,PCA160-SRC (proposed),False,pca160,0.001,0.5341582284519817,,,,,,
4,53,1,PCA160-SRC (proposed),False,pca160,0.005,0.5550926985208157,,,,,,
4,53,1,PCA160-SRC (proposed),False,pca160,0.01,0.5660587964306062,,,,,,
4,53,1,PCA160-SRC (proposed),True,pca160,0.02,0.5818258537894604,,,,,,
4,53,1,DeepLSE160-SRC,,,0.001,,160.0,8.0,0.6460582824697986,0.8649584487534625,1.0,22.0
4,53,1,DeepLSE160-SRC,,,0.005,,160.0,8.0,0.6460582824697986,0.8649584487534625,1.0,22.0
4,53,1,DeepLSE160-SRC,,,0.01,,160.0,8.0,0.6460582824697986,0.8656509695290859,1.0,22.0
4,53,1,DeepLSE160-SRC,,,0.02,,160.0,8.0,0.6460582824697986,0.8691135734072022,1.0,22.0
4,53,1,AE160-SRC,,,0.001,,160.0,68.0,0.6071582289507229,0.8718836565096953,0.0,82.0
4,53,1,AE160-SRC,,,0.005,,160.0,68.0,0.5797509043642028,0.8871191135734072,0.0,82.0
