repeat,seed,fold,dimension,selected,mode,alpha,mcc
0,6,2,192,False,pca192,0.001,0.4769990460028619
0,6,2,192,False,pca192,0.005,0.4873253233921916
0,6,2,192,False,pca192,0.01,0.4769990460028619
0,6,2,192,True,pca192,0.02,0.5036617190028583
0,6,3,192,False,pca192,0.001,0.4715599934018035
0,6,3,192,False,pca192,0.005,0.4934190414418807
0,6,3,192,False,pca192,0.01,0.4930583143922717
0,6,3,192,True,pca192,0.02,0.4981990036029892
0,6,4,192,False,pca192,0.001,0.3756824105108048
0,6,4,192,False,pca192,0.005,0.3757455362663491
0,6,4,192,False,pca192,0.01,0.381085759238282
0,6,4,192,True,pca192,0.02,0.3969142988729039
0,6,0,224,False,pca224,0.001,0.5013227513227513
0,6,0,224,False,pca224,0.005,0.5014637238663856
0,6,0,224,False,pca224,0.01,0.4908517775347758
0,6,0,224,True,pca224,0.02,0.5016189877770317
0,6,1,224,True,pca224,0.001,0.533384115118288
0,6,1,224,False,pca224,0.005,0.5177674859167516
0,6,1,224,False,pca224,0.01,0.5019596189132527
0,6,1,224,False,pca224,0.02,0.4963104292409024
0,6,2,224,False,pca224,0.001,0.4462533120485912
0,6,2,224,False,pca224,0.005,0.4670818205522202
0,6,2,224,False,pca224,0.01,0.4721967170787891
0,6,2,224,True,pca224,0.02,0.5091423402077844
0,6,3,224,False,pca224,0.001,0.4446000524446624
0,6,3,224,False,pca224,0.005,0.471004967995846
0,6,3,224,False,pca224,0.01,0.5030963943372286
0,6,3,224,True,pca224,0.02,0.5085133809309826
0,6,4,224,False,pca224,0.001,0.3770147718119111
0,6,4,224,False,pca224,0.005,0.3873074196264225
0,6,4,224,True,pca224,0.01,0.3924638872435004
0,6,4,224,False,pca224,0.02,0.3815992368022896
0,6,0,240,False,pca240,0.001,0.4860268445093333
0,6,0,240,False,pca240,0.005,0.5068408511181309
0,6,0,240,False,pca240,0.01,0.507026080603177
0,6,0,240,True,pca240,0.02,0.5178896059943818
0,6,1,240,False,pca240,0.001,0.4961568142460066
0,6,1,240,False,pca240,0.005,0.5071438687299324
0,6,1,240,True,pca240,0.01,0.512339682022185
0,6,1,240,False,pca240,0.02,0.5121512539811153
0,6,2,240,False,pca240,0.001,0.4730497079767738
0,6,2,240,False,pca240,0.005,0.4725959815670435
0,6,2,240,False,pca240,0.01,0.4832161159842805
0,6,2,240,True,pca240,0.02,0.4934190414418807
0,6,3,240,False,pca240,0.001,0.4506446959499258
0,6,3,240,False,pca240,0.005,0.4663990672027984
0,6,3,240,False,pca240,0.01,0.4981990036029892
0,6,3,240,True,pca240,0.02,0.5193989612031163
0,6,4,240,False,pca240,0.001,0.4085297439895141
0,6,4,240,False,pca240,0.005,0.4136781514188247
0,6,4,240,False,pca240,0.01,0.4185757244802525
0,6,4,240,True,pca240,0.02,0.4341603140443592
1,17,0,16,True,pca16,0.001,0.3439277136380715
1,17,0,16,False,pca16,0.005,0.3277451018173361
1,17,0,16,False,pca16,0.01,0.3332542901904626
1,17,0,16,False,pca16,0.02,0.3439277136380715
1,17,1,16,False,pca16,0.001,0.3321218890287816
1,17,1,16,False,pca16,0.005,0.326713037084091
1,17,1,16,False,pca16,0.01,0.3323470481519927
1,17,1,16,True,pca16,0.02,0.3373339575791071
1,17,2,16,False,pca16,0.001,0.3300862252499689
1,17,2,16,True,pca16,0.005,0.3352154709504824
1,17,2,16,False,pca16,0.01,0.3352154709504824
1,17,2,16,False,pca16,0.02,0.3352154709504824
