repeat,seed,fold,dimension,selected,mode,alpha,mcc
0,6,4,64,False,pca64,0.01,0.4656149830385736
0,6,4,64,True,pca64,0.02,0.47092583852762865
0,6,4,128,False,pca128,0.001,0.4503662858331831
0,6,4,128,True,pca128,0.005,0.4607303821825146
0,6,4,128,False,pca128,0.01,0.4447495899966607
0,6,4,128,False,pca128,0.02,0.4604205866925686
1,17,0,16,True,pca16,0.001,0.34392771363807156
1,17,0,16,False,pca16,0.005,0.3277451018173361
1,17,0,16,False,pca16,0.01,0.33325429019046265
1,17,0,16,False,pca16,0.02,0.34392771363807156
1,17,0,32,False,pca32,0.001,0.39569345969812675
1,17,0,32,False,pca32,0.005,0.3902840796749216
1,17,0,32,True,pca32,0.01,0.40090769686174077
1,17,0,32,False,pca32,0.02,0.40090769686174077
1,17,0,64,False,pca64,0.001,0.5019596189132527
1,17,0,64,False,pca64,0.005,0.4913330029917401
1,17,0,64,False,pca64,0.01,0.4913330029917401
1,17,0,64,True,pca64,0.02,0.5022576604733571
1,17,0,128,False,pca128,0.001,0.5227676845497016
1,17,0,128,True,pca128,0.005,0.5331700883089807
1,17,0,128,False,pca128,0.01,0.5172384680216907
1,17,0,128,False,pca128,0.02,0.5172831239681486
1,17,1,16,False,pca16,0.001,0.33212188902878165
1,17,1,16,False,pca16,0.005,0.32671303708409105
1,17,1,16,False,pca16,0.01,0.3323470481519927
1,17,1,16,True,pca16,0.02,0.33733395757910717
1,17,1,32,False,pca32,0.001,0.39012517765255883
1,17,1,32,False,pca32,0.005,0.3848886360819912
1,17,1,32,False,pca32,0.01,0.3848886360819912
1,17,1,32,True,pca32,0.02,0.3955095565770073
1,17,1,64,False,pca64,0.001,0.42177560698366107
1,17,1,64,False,pca64,0.005,0.42711560726306835
1,17,1,64,True,pca64,0.01,0.4272198094324242
1,17,1,64,False,pca64,0.02,0.4219807531290619
1,17,1,128,False,pca128,0.001,0.43300700928736335
1,17,1,128,False,pca128,0.005,0.42812167602646745
1,17,1,128,True,pca128,0.01,0.43845652451610806
1,17,1,128,False,pca128,0.02,0.42812167602646745
1,17,2,16,False,pca16,0.001,0.33008622524996895
1,17,2,16,True,pca16,0.005,0.3352154709504824
1,17,2,16,False,pca16,0.01,0.3352154709504824
1,17,2,16,False,pca16,0.02,0.3352154709504824
1,17,2,32,True,pca32,0.001,0.398255040646385
1,17,2,32,False,pca32,0.005,0.3873074196264225
1,17,2,32,False,pca32,0.01,0.39312791775709227
1,17,2,32,False,pca32,0.02,0.39397388174996295
1,17,2,64,False,pca64,0.001,0.41019584972040923
1,17,2,64,False,pca64,0.005,0.40006401536409714
1,17,2,64,False,pca64,0.01,0.40006401536409714
1,17,2,64,True,pca64,0.02,0.41578864828836404
1,17,2,128,False,pca128,0.001,0.41578864828836404
1,17,2,128,False,pca128,0.005,0.4208502873754848
1,17,2,128,True,pca128,0.01,0.4270327431902072
1,17,2,128,False,pca128,0.02,0.4264498956803734
1,17,3,16,True,pca16,0.001,0.4074986801761814
1,17,3,16,False,pca16,0.005,0.39153987210061875
1,17,3,16,False,pca16,0.01,0.381213934282852
1,17,3,16,False,pca16,0.02,0.39738201691163216
1,17,3,32,False,pca32,0.001,0.4735583637236973
1,17,3,32,False,pca32,0.005,0.47812854862349063
1,17,3,32,False,pca32,0.01,0.47812854862349063
1,17,3,32,True,pca32,0.02,0.48980536649995393
1,17,3,64,False,pca64,0.001,0.5027581119056783
1,17,3,64,False,pca64,0.005,0.508000508000762
1,17,3,64,True,pca64,0.01,0.5239268745122332
1,17,3,64,False,pca64,0.02,0.5185838519174446
1,17,3,128,True,pca128,0.001,0.5028989799700583
1,17,3,128,False,pca128,0.005,0.48732532339219164
1,17,3,128,False,pca128,0.01,0.4925048912985501
1,17,3,128,False,pca128,0.02,0.48710669380586646
1,17,4,16,False,pca16,0.001,0.3825028388987925
1,17,4,16,False,pca16,0.005,0.39312791775709227
1,17,4,16,True,pca16,0.01,0.398255040646385
1,17,4,16,False,pca16,0.02,0.39762767289699336
1,17,4,32,False,pca32,0.001,0.4397694320488729
1,17,4,32,False,pca32,0.005,0.4395473761051576
1,17,4,32,False,pca32,0.01,0.4343551795452143
1,17,4,32,True,pca32,0.02,0.4447495899966607
1,17,4,64,False,pca64,0.001,0.5450956371187881
1,17,4,64,False,pca64,0.005,0.5450956371187881
1,17,4,64,False,pca64,0.01,0.5450040603184916
1,17,4,64,True,pca64,0.02,0.5556800184220655
1,17,4,128,False,pca128,0.001,0.5661375661375662
1,17,4,128,False,pca128,0.005,0.5714365700927949
1,17,4,128,False,pca128,0.01,0.5714365700927949
1,17,4,128,True,pca128,0.02,0.5768487810286204
2,29,0,16,False,pca16,0.001,0.3900104523286621
2,29,0,16,False,pca16,0.005,0.38993976798883184
2,29,0,16,False,pca16,0.01,0.38991303384331827
2,29,0,16,True,pca16,0.02,0.3952212090509963
2,29,0,32,True,pca32,0.001,0.554392188640764
2,29,0,32,False,pca32,0.005,0.533384115118288
2,29,0,32,False,pca32,0.01,0.5384593737180862
2,29,0,32,False,pca32,0.02,0.5437633682314533
2,29,0,64,False,pca64,0.001,0.5338394666777905
2,29,0,64,False,pca64,0.005,0.5341582284519817
2,29,0,64,False,pca64,0.01,0.5338394666777905
2,29,0,64,True,pca64,0.02,0.5393061839317184
2,29,0,128,True,pca128,0.001,0.5066711776365389
2,29,0,128,False,pca128,0.005,0.4960592313049292
2,29,0,128,False,pca128,0.01,0.4801024428684003
2,29,0,128,False,pca128,0.02,0.4907258876454141
2,29,1,16,False,pca16,0.001,0.3016284887656741
2,29,1,16,False,pca16,0.005,0.3016284887656741
2,29,1,16,False,pca16,0.01,0.3016284887656741
2,29,1,16,True,pca16,0.02,0.3122958377586065
2,29,1,32,False,pca32,0.001,0.44873830989535535
2,29,1,32,False,pca32,0.005,0.44354316252926873
2,29,1,32,False,pca32,0.01,0.4489816780837925
2,29,1,32,True,pca32,0.02,0.45416408302428485
2,29,1,64,False,pca64,0.001,0.4593568350541897
2,29,1,64,False,pca64,0.005,0.46506242994439334
2,29,1,64,False,pca64,0.01,0.4702289124574308
2,29,1,64,True,pca64,0.02,0.4751767888974178
2,29,1,128,True,pca128,0.001,0.517252054486097
2,29,1,128,False,pca128,0.005,0.517252054486097
2,29,1,128,False,pca128,0.01,0.506628015173493
2,29,1,128,False,pca128,0.02,0.49603174603174605
2,29,2,16,False,pca16,0.001,0.370999258002226
2,29,2,16,False,pca16,0.005,0.3764208636758204
2,29,2,16,True,pca16,0.01,0.3815992368022896
2,29,2,16,False,pca16,0.02,0.3655914555587016
2,29,2,32,True,pca32,0.001,0.4619758471498066
2,29,2,32,False,pca32,0.005,0.4513557127325697
2,29,2,32,False,pca32,0.01,0.45734330204738083
2,29,2,32,False,pca32,0.02,0.4416330807760323
2,29,2,64,False,pca64,0.001,0.4557990884027348
2,29,2,64,False,pca64,0.005,0.4612481005605123
2,29,2,64,True,pca64,0.01,0.47155999340180355
2,29,2,64,False,pca64,0.02,0.4659281419012636
2,29,2,128,True,pca128,0.001,0.5026736478665699
2,29,2,128,False,pca128,0.005,0.5026455026455027
2,29,2,128,False,pca128,0.01,0.49736145915484004
2,29,2,128,False,pca128,0.02,0.5026455026455027
2,29,3,16,False,pca16,0.001,0.3147170254197564
2,29,3,16,False,pca16,0.005,0.32027455739265537
2,29,3,16,False,pca16,0.01,0.3207501495497921
2,29,3,16,True,pca16,0.02,0.33761359766530236
2,29,3,32,False,pca32,0.001,0.3828920668303653
2,29,3,32,False,pca32,0.005,0.3833259389999639
2,29,3,32,True,pca32,0.01,0.38380490611233603
2,29,3,32,False,pca32,0.02,0.3787272678780119
2,29,3,64,False,pca64,0.001,0.39762767289699336
2,29,3,64,False,pca64,0.005,0.3825028388987925
2,29,3,64,False,pca64,0.01,0.3818567551558382
2,29,3,64,True,pca64,0.02,0.3979185818079683
2,29,3,128,False,pca128,0.001,0.47304970797677387
